Name,Position,Height,Weight,Academic Year,Hometown,Previous School,Year,School,From_US_State,Is_Transfer,Age
Trey Galloway,G,77.0,205.0,Sr.,Indiana,,2023,Indiana,True,False,21.0
Trey Kaufman-Renn,F,81.0,230.0,So.,Indiana,,2023,Purdue,True,False,19.0
Ty Berry,G,75.0,185.0,Sr.,Kansas,,2023,Northwestern,True,False,21.0
Ty Rodgers,G/F,78.0,210.0,So.,Michigan,,2023,Illinois,True,False,19.0
Tyler Wahl,F,81.0,225.0,Gr.,Minnesota,,2023,Wisconsin,True,False,23.0
Tyson Walker,G,73.0,185.0,Gr.,New York,,2023,Michigan_State,True,True,23.0
Will Berg,C,86.0,255.0,R-Fr.,Sweden,,2023,Purdue,False,False,19.0
Will Ramberg,G,77.0,205.0,Sr.,Minnesota,Cook County,2023,Minnesota,True,True,21.0
Will Tschetter,F,80.0,245.0,R-So.,Minnesota,,2023,Michigan,True,False,20.0
Xavier Booker,F,83.0,220.0,Fr.,Indiana,,2023,Michigan_State,True,False,18.0
Xavier Johnson,G,75.0,200.0,R-Sr.+,Virginia,Pitt,2023,Indiana,True,True,24.0
Youssef Khayat,F,81.0,215.0,So.,Lebanon,,2023,Michigan,False,False,19.0
Zach Edey,C,88.0,300.0,Sr.,Ontario,,2023,Purdue,False,False,21.0
Zach Hayn,G,74.0,195.0,Gr.,New York,,2023,Rutgers,True,True,23.0
Zach Hicks,F,80.0,200.0,Junior,New Jersey,Temple,2023,Penn_State,True,True,20.0
Zed Key,F,80.0,230.0,Sr.,New York,,2023,Ohio_State,True,False,21.0
